Vf,"[1]
E2*
(GPa)","[2]
E2*
(GPa)","[3]
E2*
(GPa)","[4]
E2*
(GPa)"
0,2.800,2.800,20.000,20.000
0.01,2.958,2.916,20.049,20.261
0.02,3.045,3.002,20.100,20.526
0.03,3.108,3.075,20.149,20.793
0.04,3.163,3.140,20.199,21.066
0.05,3.216,3.203,20.250,21.342
0.06,3.265,3.263,20.300,21.622
0.07,3.314,3.321,20.350,21.907
0.08,3.362,3.380,20.400,22.196
0.09,3.409,3.438,20.450,22.488
0.1,3.458,3.497,20.500,22.786
0.11,3.506,3.556,20.550,23.088
0.12,3.555,3.614,20.600,23.395
0.13,3.605,3.675,20.650,23.706
0.14,3.655,3.738,20.700,24.023
0.15,3.705,3.799,20.750,24.344
0.16,3.758,3.863,20.800,24.672
0.17,3.810,3.929,20.850,25.004
0.18,3.863,3.994,20.900,25.341
0.19,3.917,4.061,20.950,25.684
0.2,3.972,4.129,21.000,26.035
0.21,4.030,4.199,21.050,26.389
0.22,4.087,4.272,21.100,26.751
0.23,4.144,4.346,21.150,27.117
0.24,4.204,4.422,21.200,27.492
0.25,4.266,4.497,21.250,27.872
0.26,4.326,4.577,21.300,28.260
0.27,4.391,4.658,21.350,28.655
0.28,4.456,4.741,21.400,29.055
0.29,4.521,4.825,21.450,29.466
0.3,4.588,4.913,21.500,29.882
0.31,4.658,5.002,21.550,30.307
0.32,4.728,5.095,21.600,30.741
0.33,4.800,5.190,21.650,31.181
0.34,4.873,5.286,21.700,31.632
0.35,4.949,5.388,21.750,32.091
0.36,5.026,5.490,21.800,32.559
0.37,5.104,5.595,21.850,33.037
0.38,5.184,5.705,21.900,33.524
0.39,5.267,5.818,21.950,34.022
0.4,5.353,5.934,22.000,34.530
0.41,5.438,6.054,22.050,35.048
0.42,5.527,6.178,22.100,35.578
0.43,5.619,6.305,22.150,36.119
0.44,5.712,6.437,22.200,36.673
0.45,5.808,6.574,22.250,37.238
0.46,5.907,6.714,22.300,37.818
0.47,6.008,6.860,22.350,38.409
0.48,6.111,7.010,22.400,39.014
0.49,6.217,7.167,22.450,39.633
0.5,6.328,7.329,22.500,40.268
0.51,6.441,7.498,22.550,40.917
0.52,6.558,7.672,22.600,41.581
0.53,6.676,7.855,22.650,42.262
0.54,6.800,8.044,22.700,42.961
0.55,6.926,8.241,22.750,43.678
0.56,7.055,8.444,22.800,44.411
0.57,7.191,8.657,22.850,45.165
0.58,7.331,8.882,22.900,45.938
0.59,7.474,9.114,22.950,46.732
0.6,7.621,9.357,23.000,47.546
0.61,7.775,9.612,23.050,48.384
0.62,7.932,9.879,23.100,49.244
0.63,8.095,10.158,23.150,50.130
0.64,8.265,10.453,23.200,51.041
0.65,8.441,10.761,23.250,51.978
0.66,8.622,11.086,23.300,52.942
0.67,8.811,11.427,23.350,53.936
0.68,9.007,11.790,23.400,54.959
0.69,9.208,12.171,23.450,56.015
0.7,9.419,12.577,23.500,57.102
0.71,9.639,13.007,23.550,58.226
0.72,9.868,13.463,23.600,59.385
0.73,10.105,13.948,23.650,60.582
0.74,10.353,14.467,23.700,61.821
0.75,10.610,15.021,23.750,63.101
0.76,10.881,15.615,23.800,64.426
0.77,11.163,16.252,23.850,65.798
0.78,11.458,16.938,23.900,67.218
0.79,11.766,17.680,23.950,68.692
0.8,12.090,18.484,24.000,70.220
0.81,12.430,19.357,24.050,71.807
0.82,12.789,20.310,24.100,73.454
0.83,13.165,21.354,24.150,75.168
0.84,13.562,22.504,24.200,76.953
0.85,13.979,23.774,24.250,78.808
0.86,14.422,25.186,24.300,80.743
0.87,14.890,26.764,24.350,82.761
0.88,15.386,28.541,24.400,84.867
0.89,15.914,30.555,24.450,87.069
0.9,16.475,32.857,24.500,89.374
0.91,17.073,35.514,24.550,91.786
0.92,17.711,38.618,24.600,94.314
0.93,18.397,42.287,24.650,96.969
0.94,19.131,46.694,24.700,99.757
0.95,19.923,52.086,24.750,102.692
0.96,20.778,58.834,24.800,105.782
0.97,21.702,67.525,24.850,109.044
0.98,22.707,79.138,24.900,112.489
0.99,23.801,95.441,24.950,116.135
1,25.000,120.001,25.000,120.001
