Vf,"[1]
G12*
(GPa)","[2]
G12*
(GPa)","[3]
G12*
(GPa)","[4]
G12*
(GPa)"
0,1.077,1.077,15.000,15.000
0.01,1.097,1.098,15.043,15.154
0.02,1.116,1.119,15.086,15.311
0.03,1.137,1.141,15.129,15.468
0.04,1.157,1.163,15.172,15.628
0.05,1.178,1.185,15.216,15.789
0.06,1.200,1.208,15.259,15.951
0.07,1.221,1.231,15.303,16.116
0.08,1.244,1.255,15.347,16.282
0.09,1.266,1.279,15.391,16.450
0.1,1.289,1.304,15.435,16.620
0.11,1.313,1.330,15.479,16.792
0.12,1.337,1.356,15.523,16.965
0.13,1.362,1.382,15.568,17.140
0.14,1.387,1.409,15.612,17.318
0.15,1.412,1.437,15.657,17.497
0.16,1.438,1.465,15.702,17.679
0.17,1.465,1.494,15.747,17.862
0.18,1.492,1.524,15.792,18.047
0.19,1.520,1.554,15.837,18.235
0.2,1.548,1.585,15.882,18.425
0.21,1.577,1.617,15.928,18.616
0.22,1.607,1.650,15.973,18.811
0.23,1.638,1.683,16.019,19.007
0.24,1.669,1.717,16.065,19.206
0.25,1.700,1.752,16.111,19.407
0.26,1.733,1.788,16.157,19.610
0.27,1.766,1.825,16.204,19.816
0.28,1.800,1.863,16.250,20.024
0.29,1.835,1.902,16.297,20.235
0.3,1.871,1.942,16.343,20.448
0.31,1.908,1.983,16.390,20.664
0.32,1.945,2.025,16.437,20.882
0.33,1.984,2.068,16.484,21.104
0.34,2.023,2.112,16.532,21.327
0.35,2.064,2.158,16.579,21.554
0.36,2.106,2.205,16.627,21.784
0.37,2.148,2.254,16.674,22.016
0.38,2.192,2.303,16.722,22.252
0.39,2.238,2.355,16.770,22.490
0.4,2.284,2.408,16.818,22.732
0.41,2.332,2.463,16.866,22.977
0.42,2.381,2.519,16.915,23.224
0.43,2.431,2.577,16.963,23.476
0.44,2.484,2.637,17.012,23.730
0.45,2.537,2.700,17.061,23.988
0.46,2.592,2.764,17.110,24.249
0.47,2.649,2.830,17.159,24.514
0.48,2.708,2.899,17.209,24.782
0.49,2.769,2.971,17.258,25.055
0.5,2.832,3.044,17.308,25.330
0.51,2.896,3.121,17.357,25.610
0.52,2.963,3.201,17.407,25.894
0.53,3.032,3.283,17.457,26.181
0.54,3.104,3.369,17.508,26.473
0.55,3.178,3.459,17.558,26.769
0.56,3.255,3.552,17.609,27.069
0.57,3.335,3.649,17.659,27.373
0.58,3.417,3.750,17.710,27.682
0.59,3.503,3.855,17.761,27.995
0.6,3.592,3.966,17.812,28.313
0.61,3.685,4.081,17.864,28.636
0.62,3.781,4.202,17.915,28.964
0.63,3.882,4.328,17.967,29.296
0.64,3.986,4.461,18.019,29.634
0.65,4.096,4.600,18.071,29.977
0.66,4.210,4.747,18.123,30.325
0.67,4.329,4.901,18.175,30.678
0.68,4.453,5.064,18.228,31.038
0.69,4.584,5.235,18.281,31.402
0.7,4.721,5.417,18.333,31.773
0.71,4.864,5.610,18.386,32.150
0.72,5.015,5.814,18.439,32.532
0.73,5.174,6.031,18.493,32.921
0.74,5.341,6.262,18.546,33.317
0.75,5.517,6.509,18.600,33.719
0.76,5.704,6.773,18.654,34.127
0.77,5.901,7.056,18.708,34.543
0.78,6.110,7.360,18.762,34.966
0.79,6.332,7.688,18.816,35.396
0.8,6.568,8.042,18.871,35.833
0.81,6.819,8.426,18.926,36.278
0.82,7.088,8.844,18.981,36.731
0.83,7.376,9.300,19.036,37.192
0.84,7.685,9.801,19.091,37.661
0.85,8.017,10.352,19.146,38.139
0.86,8.375,10.962,19.202,38.626
0.87,8.763,11.640,19.258,39.122
0.88,9.183,12.400,19.314,39.626
0.89,9.642,13.256,19.370,40.141
0.9,10.143,14.228,19.426,40.665
0.91,10.694,15.342,19.483,41.199
0.92,11.301,16.631,19.539,41.744
0.93,11.974,18.139,19.596,42.299
0.94,12.725,19.928,19.653,42.865
0.95,13.567,22.084,19.711,43.443
0.96,14.519,24.734,19.768,44.032
0.97,15.604,28.069,19.826,44.633
0.98,16.850,32.392,19.884,45.246
0.99,18.298,38.222,19.942,45.873
1,20.000,46.512,20.000,46.512
